緯度,経度,SUM(kWh/kWp)
-89.5,-179.5,1400.920275
-89.5,-178.5,1400.852358
-89.5,-177.5,1400.798308
-89.5,-176.5,1400.720596
-89.5,-175.5,1400.647256
-89.5,-174.5,1400.609852
-89.5,-173.5,1400.335022
-89.5,-172.5,1400.290541
-89.5,-171.5,1400.233157
-89.5,-170.5,1400.176476
-89.5,-169.5,1400.115363
-89.5,-168.5,1400.231378
-89.5,-167.5,1400.174684
-89.5,-166.5,1400.118981
-89.5,-165.5,1400.06394
-89.5,-164.5,1399.996023
-89.5,-163.5,1399.94032
-89.5,-162.5,1399.874056
-89.5,-161.5,1399.829576
-89.5,-160.5,1399.761659
-89.5,-159.5,1399.700818
-89.5,-158.5,1399.458141
-89.5,-157.5,1399.391885
-89.5,-156.5,1399.348389
-89.5,-155.5,1399.290783
-89.5,-154.5,1399.234102
-89.5,-153.5,1399.374666
-89.5,-152.5,1399.316545
-89.5,-151.5,1399.270155
-89.5,-150.5,1399.214453
-89.5,-149.5,1399.156841
-89.5,-148.5,1399.110451
-89.5,-147.5,1399.064544
-89.5,-146.5,1399.006932
-89.5,-145.5,1398.978179
-89.5,-144.5,1398.923287
-89.5,-143.5,1398.681952
-89.5,-142.5,1398.63557
-89.5,-141.5,1398.636977
-89.5,-140.5,1398.590594
-89.5,-139.5,1398.550625
-89.5,-138.5,1398.706308
-89.5,-137.5,1398.659257
-89.5,-136.5,1398.635162
-89.5,-135.5,1398.602789
-89.5,-134.5,1398.574036
-89.5,-133.5,1398.534872
-89.5,-132.5,1398.506119
-89.5,-131.5,1398.497467
-89.5,-130.5,1398.45973
-89.5,-129.5,1398.432779
-89.5,-128.5,1398.212783
-89.5,-127.5,1398.185833
-89.5,-126.5,1398.172658
-89.5,-125.5,1398.157214
-89.5,-124.5,1398.141493
-89.5,-123.5,1398.312825
-89.5,-122.5,1398.291297
-89.5,-121.5,1398.282645
-89.5,-120.5,1398.25356
-89.5,-119.5,1415.779101
-89.5,-118.5,1415.760619
-89.5,-117.5,1415.739398
-89.5,-116.5,1415.739398
-89.5,-115.5,1415.510472
-89.5,-114.5,1415.498258
-89.5,-113.5,1415.494906
-89.5,-112.5,1415.489251
-89.5,-111.5,1415.489531
-89.5,-110.5,1415.465401
-89.5,-109.5,1415.465401
-89.5,-108.5,1415.654337
-89.5,-107.5,1415.642123
-89.5,-106.5,1415.633116
-89.5,-105.5,1415.624486
-89.5,-104.5,1415.612272
-89.5,-103.5,1415.612272
-89.5,-102.5,1415.612272
-89.5,-101.5,1415.612272
-89.5,-100.5,1415.392959
-89.5,-99.5,1415.392959
-89.5,-98.5,1415.392959
-89.5,-97.5,1415.392959
-89.5,-96.5,1415.427872
-89.5,-95.5,1415.415658
-89.5,-94.5,1415.426953
-89.5,-93.5,1415.60792
-89.5,-92.5,1415.60792
-89.5,-91.5,1415.629066
-89.5,-90.5,1415.617772
-89.5,-89.5,1415.636253
-89.5,-88.5,1415.636253
-89.5,-87.5,1415.627391
-89.5,-86.5,1415.633046
-89.5,-85.5,1415.441418
-89.5,-84.5,1415.442113
-89.5,-83.5,1415.451958
-89.5,-82.5,1415.45531
-89.5,-81.5,1415.47352
-89.5,-80.5,1415.484053
-89.5,-79.5,1415.502911
-89.5,-78.5,1415.704682
-89.5,-77.5,1415.708035
-89.5,-76.5,1415.726893
-89.5,-75.5,1415.730245
-89.5,-74.5,1415.75629
-89.5,-73.5,1415.765297
-89.5,-72.5,1415.791342
-89.5,-71.5,1415.801882
-89.5,-70.5,1415.626413
-89.5,-69.5,1415.638772
-89.5,-68.5,1415.66481
-89.5,-67.5,1415.681004
-89.5,-66.5,1415.721415
-89.5,-65.5,1415.752249
-89.5,-64.5,1415.790502
-89.5,-63.5,1416.004691
-89.5,-62.5,1416.030736
-89.5,-61.5,1416.064242
-89.5,-60.5,1416.083788
-89.5,-59.5,1416.11884
-89.5,-58.5,1416.138386
-89.5,-57.5,1416.193595
-89.5,-56.5,1416.213141
-89.5,-55.5,1416.046623
-89.5,-54.5,1416.092963
-89.5,-53.5,1416.13792
-89.5,-52.5,1416.163121
-89.5,-51.5,1416.244384
-89.5,-50.5,1416.271104
-89.5,-49.5,1416.318363
-89.5,-48.5,1416.542482
-89.5,-47.5,1416.573323
-89.5,-46.5,1416.62059
-89.5,-45.5,1416.655642
-89.5,-44.5,1416.701989
-89.5,-43.5,1416.7436
-89.5,-42.5,1416.778652
-89.5,-41.5,1416.832186
-89.5,-40.5,1416.671286
-89.5,-39.5,1416.724812
-89.5,-38.5,1416.76321
-89.5,-37.5,1416.816109
-89.5,-36.5,1416.870866
-89.5,-35.5,1416.917206
-89.5,-34.5,1416.974998
-89.5,-33.5,1417.210537
-89.5,-32.5,1417.257803
-89.5,-31.5,1417.314689
-89.5,-30.5,1417.363399
-89.5,-29.5,1417.40899
-89.5,-28.5,1417.455337
-89.5,-27.5,1417.513142
-89.5,-26.5,1417.559489
-89.5,-25.5,1417.415529
-89.5,-24.5,1417.461869
-89.5,-23.5,1417.519667
-89.5,-22.5,1417.566007
-89.5,-21.5,1417.632932
-89.5,-20.5,1417.682625
-89.5,-19.5,1417.738508
-89.5,-18.5,1417.976099
-89.5,-17.5,1418.041847
-89.5,-16.5,1418.088194
-89.5,-15.5,1418.140256
-89.5,-14.5,1418.182495
-89.5,-13.5,1418.241056
-89.5,-12.5,1418.283295
-89.5,-11.5,1418.341856
-89.5,-10.5,1418.196878
-89.5,-9.5,1418.255433
-89.5,-8.5,1418.297037
-89.5,-7.5,1418.350564
-89.5,-6.5,1418.424562
-89.5,-5.5,1418.486945
-89.5,-4.5,1418.52199
-89.5,-3.5,1418.77153
-89.5,-2.5,1418.82024
-89.5,-1.5,1418.849637
-89.5,-0.5,1418.915386
-89.5,0.5,1444.998515
-89.5,1.5,1445.046856
-89.5,2.5,1445.090991
-89.5,3.5,1445.145824
-89.5,4.5,1444.998003
-89.5,5.5,1445.028395
-89.5,6.5,1444.877331
-89.5,7.5,1444.915645
-89.5,8.5,1444.970162
-89.5,9.5,1445.020596
-89.5,10.5,1445.265714
-89.5,11.5,1445.487945
-89.5,12.5,1445.522502
-89.5,13.5,1445.569242
-89.5,14.5,1445.599642
-89.5,15.5,1445.638621
-89.5,16.5,1445.684704
-89.5,17.5,1445.711396
-89.5,18.5,1445.751824
-89.5,19.5,1445.582277
-89.5,20.5,1445.621249
-89.5,21.5,1445.460107
-89.5,22.5,1445.498261
-89.5,23.5,1445.538856
-89.5,24.5,1445.566984
-89.5,25.5,1445.794372
-89.5,26.5,1446.024442
-89.5,27.5,1446.051135
-89.5,28.5,1446.101582
-89.5,29.5,1446.118255
-89.5,30.5,1446.164996
-89.5,31.5,1446.168703
-89.5,32.5,1446.21915
-89.5,33.5,1446.245843
-89.5,34.5,1446.084154
-89.5,35.5,1446.091466
-89.5,36.5,1445.932967
-89.5,37.5,1445.943985
-89.5,38.5,1446.004742
-89.5,39.5,1446.014103
-89.5,40.5,1446.222819
-89.5,41.5,1446.444188
-89.5,42.5,1446.466675
-89.5,43.5,1446.488981
-89.5,44.5,1446.505654
-89.5,45.5,1446.54674
-89.5,46.5,1446.552394
-89.5,47.5,1446.587168
-89.5,48.5,1446.602842
-89.5,49.5,1446.416656
-89.5,50.5,1446.435436
-89.5,51.5,1446.260443
-89.5,52.5,1446.284191
-89.5,53.5,1446.313542
-89.5,54.5,1446.335023
-89.5,55.5,1446.56543
-89.5,56.5,1446.765203
-89.5,57.5,1446.776221
-89.5,58.5,1446.805631
-89.5,59.5,1446.822962
-89.5,60.5,1446.826669
-89.5,61.5,1446.86339
-89.5,62.5,1446.867097
-89.5,63.5,1446.877117
-89.5,64.5,1446.700155
-89.5,65.5,1446.703862
-89.5,66.5,1446.513615
-89.5,67.5,1446.530288
-89.5,68.5,1446.565262
-89.5,69.5,1446.570916
-89.5,70.5,1446.783404
-89.5,71.5,1446.996952
-89.5,72.5,1446.996952
-89.5,73.5,1447.006314
-89.5,74.5,1447.025911
-89.5,75.5,1447.029618
-89.5,76.5,1447.035273
-89.5,77.5,1447.035273
-89.5,78.5,1447.049
-89.5,79.5,1446.85824
-89.5,80.5,1446.866168
-89.5,81.5,1446.664425
-89.5,82.5,1446.664425
-89.5,83.5,1446.687866
-89.5,84.5,1446.683501
-89.5,85.5,1446.894996
-89.5,86.5,1447.078463
-89.5,87.5,1447.078463
-89.5,88.5,1447.078463
-89.5,89.5,1447.078463
-89.5,90.5,1447.094457
-89.5,91.5,1447.084438
-89.5,92.5,1447.072969
-89.5,93.5,1447.071312
-89.5,94.5,1446.863429
-89.5,95.5,1446.860504
-89.5,96.5,1446.643086
-89.5,97.5,1446.641429
-89.5,98.5,1446.65046
-89.5,99.5,1446.634785
-89.5,100.5,1446.836254
-89.5,101.5,1447.012896
-89.5,102.5,1447.012896
-89.5,103.5,1446.993514
-89.5,104.5,1446.973917
-89.5,105.5,1446.973917
-89.5,106.5,1446.948721
-89.5,107.5,1446.94141
-89.5,108.5,1446.919104
-89.5,109.5,1446.713203
-89.5,110.5,1446.705892
-89.5,111.5,1446.473313
-89.5,112.5,1446.466002
-89.5,113.5,1446.452731
-89.5,114.5,1446.452731
-89.5,115.5,1446.633146
-89.5,116.5,1446.805751
-89.5,117.5,1446.776133
-89.5,118.5,1446.772426
-89.5,119.5,1446.73992
-89.5,120.5,1403.038037
-89.5,121.5,1403.000299
-89.5,122.5,1402.978772
-89.5,123.5,1402.961901
-89.5,124.5,1402.951596
-89.5,125.5,1402.913858
-89.5,126.5,1402.712151
-89.5,127.5,1402.680828
-89.5,128.5,1402.658734
-89.5,129.5,1402.64187
-89.5,130.5,1402.633218
-89.5,131.5,1402.791544
-89.5,132.5,1402.773907
-89.5,133.5,1402.753807
-89.5,134.5,1402.733932
-89.5,135.5,1402.708409
-89.5,136.5,1402.688309
-89.5,137.5,1402.670671
-89.5,138.5,1402.645148
-89.5,139.5,1402.625274
-89.5,140.5,1402.605173
-89.5,141.5,1402.36575
-89.5,142.5,1402.3388
-89.5,143.5,1402.325372
-89.5,144.5,1402.306925
-89.5,145.5,1402.288633
-89.5,146.5,1402.43725
-89.5,147.5,1402.414956
-89.5,148.5,1402.399228
-89.5,149.5,1402.362483
-89.5,150.5,1402.319322
-89.5,151.5,1402.300365
-89.5,152.5,1402.270695
-89.5,153.5,1402.238096
-89.5,154.5,1402.200359
-89.5,155.5,1402.167985
-89.5,156.5,1401.940798
-89.5,157.5,1401.895692
-89.5,158.5,1401.876898
-89.5,159.5,1401.831507
-89.5,160.5,1401.80599
-89.5,161.5,1401.93787
-89.5,162.5,1401.916193
-89.5,163.5,1401.873515
-89.5,164.5,1401.81733
-89.5,165.5,1401.771933
-89.5,166.5,1401.730966
-89.5,167.5,1401.681722
-89.5,168.5,1401.633095
-89.5,169.5,1401.579629
-89.5,170.5,1401.534232
-89.5,171.5,1401.286221
-89.5,172.5,1401.232172
-89.5,173.5,1401.185673
-89.5,174.5,1401.111203
-89.5,175.5,1401.062583
-89.5,176.5,1401.189814
-89.5,177.5,1401.144416
-89.5,178.5,1401.087721
-89.5,179.5,1401.033672
-88.5,-179.5,1358.405075
-88.5,-178.5,1358.18124
-88.5,-177.5,1357.946372
-88.5,-176.5,1357.715546
-88.5,-175.5,1353.608755
-88.5,-174.5,1353.373349
-88.5,-173.5,1353.150344
-88.5,-172.5,1352.902941
-88.5,-171.5,1352.883656
-88.5,-170.5,1352.643883
-88.5,-169.5,1352.393678
-88.5,-168.5,1352.168023
-88.5,-167.5,1364.833348
-88.5,-166.5,1364.585317
-88.5,-165.5,1364.358963
-88.5,-164.5,1364.120157
-88.5,-163.5,1363.888301
-88.5,-162.5,1363.661948
-88.5,-161.5,1363.428441
-88.5,-160.5,1363.21462
-88.5,-159.5,1358.687053
-88.5,-158.5,1358.485826
-88.5,-157.5,1358.27992
-88.5,-156.5,1358.089623
-88.5,-155.5,1357.908604
-88.5,-154.5,1357.733521
-88.5,-153.5,1357.567699
-88.5,-152.5,1357.403151
-88.5,-151.5,1355.297772
-88.5,-150.5,1355.151157
-88.5,-149.5,1355.014219
-88.5,-148.5,1354.88707
-88.5,-147.5,1354.755576
-88.5,-146.5,1354.655565
-88.5,-145.5,1354.536634
-88.5,-144.5,1354.434074
-88.5,-143.5,1354.073777
-88.5,-142.5,1353.991585
-88.5,-141.5,1353.940205
-88.5,-140.5,1353.881451
-88.5,-139.5,1353.818446
-88.5,-138.5,1353.772092
-88.5,-137.5,1353.721607
-88.5,-136.5,1353.692651
-88.5,-135.5,1355.568636
-88.5,-134.5,1355.537582
-88.5,-133.5,1355.507645
-88.5,-132.5,1355.499492
-88.5,-131.5,1355.480502
-88.5,-130.5,1355.041772
-88.5,-129.5,1355.049918
-88.5,-128.5,1354.83735
-88.5,-127.5,1346.872938
-88.5,-126.5,1347.077737
-88.5,-125.5,1347.074001
-88.5,-124.5,1347.081417
-88.5,-123.5,1347.078644
-88.5,-122.5,1347.084549
-88.5,-121.5,1347.092673
-88.5,-120.5,1347.07804
-88.5,-119.5,1352.420492
-88.5,-118.5,1352.416764
-88.5,-117.5,1352.415523
-88.5,-116.5,1352.411794
-88.5,-115.5,1352.194242
-88.5,-114.5,1352.194674
-88.5,-113.5,1351.976763
-88.5,-112.5,1351.974617
-88.5,-111.5,1348.024562
-88.5,-110.5,1348.01549
-88.5,-109.5,1348.408016
-88.5,-108.5,1348.586207
-88.5,-107.5,1348.556444
-88.5,-106.5,1348.521835
-88.5,-105.5,1348.492133
-88.5,-104.5,1348.469348
-88.5,-103.5,1355.380531
-88.5,-102.5,1355.345134
-88.5,-101.5,1355.312735
-88.5,-100.5,1355.052441
-88.5,-99.5,1354.996454
-88.5,-98.5,1354.767762
-88.5,-97.5,1354.734581
-88.5,-96.5,1354.771565
-88.5,-95.5,1356.358805
-88.5,-94.5,1356.326235
-88.5,-93.5,1356.281998
-88.5,-92.5,1356.262015
-88.5,-91.5,1356.239187
-88.5,-90.5,1356.187887
-88.5,-89.5,1356.159534
-88.5,-88.5,1356.147704
-88.5,-87.5,1359.228092
-88.5,-86.5,1359.205416
-88.5,-85.5,1359.196525
-88.5,-84.5,1359.176701
-88.5,-83.5,1358.959347
-88.5,-82.5,1358.9622
-88.5,-81.5,1359.165074
-88.5,-80.5,1359.183499
-88.5,-79.5,1359.893113
-88.5,-78.5,1360.105502
-88.5,-77.5,1360.104951
-88.5,-76.5,1360.121188
-88.5,-75.5,1360.14662
-88.5,-74.5,1360.18305
-88.5,-73.5,1360.195107
-88.5,-72.5,1360.238613
-88.5,-71.5,1365.05866
-88.5,-70.5,1364.920154
-88.5,-69.5,1364.98316
-88.5,-68.5,1365.026734
-88.5,-67.5,1365.088424
-88.5,-66.5,1365.149042
-88.5,-65.5,1365.212048
-88.5,-64.5,1365.480855
-88.5,-63.5,1374.208927
-88.5,-62.5,1374.280101
-88.5,-61.5,1374.37568
-88.5,-60.5,1374.434211
-88.5,-59.5,1374.526546
-88.5,-58.5,1374.618083
-88.5,-57.5,1374.713212
-88.5,-56.5,1374.805547
-88.5,-55.5,1381.601913
-88.5,-54.5,1381.691632
-88.5,-53.5,1381.79072
-88.5,-52.5,1381.883357
-88.5,-51.5,1381.806809
-88.5,-50.5,1381.905101
-88.5,-49.5,1382.209726
-88.5,-48.5,1382.338276
-88.5,-47.5,1384.682321
-88.5,-46.5,1384.775274
-88.5,-45.5,1384.895678
-88.5,-44.5,1385.013448
-88.5,-43.5,1385.123973
-88.5,-42.5,1385.241744
-88.5,-41.5,1385.376209
-88.5,-40.5,1385.320366
-88.5,-39.5,1379.616946
-88.5,-38.5,1379.547302
-88.5,-37.5,1379.702547
-88.5,-36.5,1379.850496
-88.5,-35.5,1379.996676
-88.5,-34.5,1380.334082
-88.5,-33.5,1380.481858
-88.5,-32.5,1380.639977
-88.5,-31.5,1389.452475
-88.5,-30.5,1389.619022
-88.5,-29.5,1389.78557
-88.5,-28.5,1389.962066
-88.5,-27.5,1390.123462
-88.5,-26.5,1390.290009
-88.5,-25.5,1390.459445
-88.5,-24.5,1390.628676
-88.5,-23.5,1391.381233
-88.5,-22.5,1391.548199
-88.5,-21.5,1391.927756
-88.5,-20.5,1392.10585
-88.5,-19.5,1392.500892
-88.5,-18.5,1392.667894
-88.5,-17.5,1392.857453
-88.5,-16.5,1393.035569
-88.5,-15.5,1391.488322
-88.5,-14.5,1391.661815
-88.5,-13.5,1391.849574
-88.5,-12.5,1392.044998
-88.5,-11.5,1392.232756
-88.5,-10.5,1392.217913
-88.5,-9.5,1392.406446
-88.5,-8.5,1392.376192
-88.5,-7.5,1398.91289
-88.5,-6.5,1399.126919
-88.5,-5.5,1399.30732
-88.5,-4.5,1399.484802
-88.5,-3.5,1399.861358
-88.5,-2.5,1400.039809
-88.5,-1.5,1400.191412
-88.5,-0.5,1400.404602
-88.5,0.5,1407.126242
-88.5,1.5,1407.245399
-88.5,2.5,1407.415405
-88.5,3.5,1407.575991
-88.5,4.5,1407.542493
-88.5,5.5,1407.686022
-88.5,6.5,1407.634237
-88.5,7.5,1407.799411
-88.5,8.5,1403.10097
-88.5,9.5,1403.254111
-88.5,10.5,1403.389709
-88.5,11.5,1403.551248
-88.5,12.5,1403.686845
-88.5,13.5,1403.829771
-88.5,14.5,1403.962458
-88.5,15.5,1404.107069
-88.5,16.5,1408.740162
-88.5,17.5,1408.875254
-88.5,18.5,1409.013849
-88.5,19.5,1409.156101
-88.5,20.5,1409.292747
-88.5,21.5,1409.232878
-88.5,22.5,1409.369337
-88.5,23.5,1409.501429
-88.5,24.5,1419.724426
-88.5,25.5,1420.052417
-88.5,26.5,1420.195757
-88.5,27.5,1420.334472
-88.5,28.5,1420.459914
-88.5,29.5,1420.59736
-88.5,30.5,1420.712768
-88.5,31.5,1420.861517
-88.5,32.5,1421.307028
-88.5,33.5,1421.434475
-88.5,34.5,1421.368981
-88.5,35.5,1421.493286
-88.5,36.5,1421.414318
-88.5,37.5,1421.555754
-88.5,38.5,1421.692978
-88.5,39.5,1421.808314
-88.5,40.5,1427.341213
-88.5,41.5,1427.646769
-88.5,42.5,1427.784744
-88.5,43.5,1427.900481
-88.5,44.5,1428.027592
-88.5,45.5,1428.158236
-88.5,46.5,1428.271069
-88.5,47.5,1428.386806
-88.5,48.5,1415.236137
-88.5,49.5,1415.148096
-88.5,50.5,1415.274604
-88.5,51.5,1415.201521
-88.5,52.5,1415.320141
-88.5,53.5,1415.640445
-88.5,54.5,1415.754871
-88.5,55.5,1415.872151
-88.5,56.5,1416.702798
-88.5,57.5,1416.800123
-88.5,58.5,1416.895128
-88.5,59.5,1416.998057
-88.5,60.5,1417.0996
-88.5,61.5,1417.185149
-88.5,62.5,1417.284573
-88.5,63.5,1417.35798
-88.5,64.5,1401.84975
-88.5,65.5,1401.935307
-88.5,66.5,1401.80577
-88.5,67.5,1401.887743
-88.5,68.5,1401.952232
-88.5,69.5,1402.019305
-88.5,70.5,1402.288282
-88.5,71.5,1402.357491
-88.5,72.5,1401.692021
-88.5,73.5,1401.740561
-88.5,74.5,1401.794957
-88.5,75.5,1401.841928
-88.5,76.5,1401.901776
-88.5,77.5,1401.937438
-88.5,78.5,1401.981977
-88.5,79.5,1401.812826
-88.5,80.5,1402.805289
-88.5,81.5,1402.635963
-88.5,82.5,1402.646989
-88.5,83.5,1402.889967
-88.5,84.5,1402.900994
-88.5,85.5,1402.916296
-88.5,86.5,1402.936663
-88.5,87.5,1402.947689
-88.5,88.5,1393.29157
-88.5,89.5,1393.288536
-88.5,90.5,1393.300635
-88.5,91.5,1393.282186
-88.5,92.5,1393.287638
-88.5,93.5,1393.276401
-88.5,94.5,1393.056651
-88.5,95.5,1393.046694
-88.5,96.5,1394.587177
-88.5,97.5,1394.567446
-88.5,98.5,1394.736495
-88.5,99.5,1394.704607
-88.5,100.5,1394.670888
-88.5,101.5,1394.630193
-88.5,102.5,1394.603828
-88.5,103.5,1394.571941
-88.5,104.5,1400.447669
-88.5,105.5,1400.389124
-88.5,106.5,1400.340356
-88.5,107.5,1400.283871
-88.5,108.5,1400.232401
-88.5,109.5,1400.171156
-88.5,110.5,1400.097106
-88.5,111.5,1400.059348
-88.5,112.5,1391.621089
-88.5,113.5,1391.548317
-88.5,114.5,1391.481933
-88.5,115.5,1391.619542
-88.5,116.5,1391.544303
-88.5,117.5,1391.465239
-88.5,118.5,1391.391804
-88.5,119.5,1391.327597
-88.5,120.5,1386.724025
-88.5,121.5,1386.648028
-88.5,122.5,1386.573589
-88.5,123.5,1386.487949
-88.5,124.5,1386.399449
-88.5,125.5,1386.325871
-88.5,126.5,1386.022723
-88.5,127.5,1385.917803
-88.5,128.5,1391.504251
-88.5,129.5,1391.414162
-88.5,130.5,1391.51026
-88.5,131.5,1391.420808
-88.5,132.5,1391.323655
-88.5,133.5,1391.19903
-88.5,134.5,1391.11129
-88.5,135.5,1390.978165
-88.5,136.5,1376.285772
-88.5,137.5,1376.167777
-88.5,138.5,1376.039931
-88.5,139.5,1375.909631
-88.5,140.5,1375.784456
-88.5,141.5,1375.653751
-88.5,142.5,1375.51894
-88.5,143.5,1375.17579
-88.5,144.5,1392.066705
-88.5,145.5,1392.138722
-88.5,146.5,1392.000715
-88.5,147.5,1391.826699
-88.5,148.5,1391.674704
-88.5,149.5,1391.529863
-88.5,150.5,1391.380634
-88.5,151.5,1391.216504
-88.5,152.5,1381.400601
-88.5,153.5,1381.238161
-88.5,154.5,1380.870684
-88.5,155.5,1380.731572
-88.5,156.5,1380.3521
-88.5,157.5,1380.196752
-88.5,158.5,1380.432183
-88.5,159.5,1380.271442
-88.5,160.5,1372.146615
-88.5,161.5,1372.158443
-88.5,162.5,1371.98919
-88.5,163.5,1371.822141
-88.5,164.5,1371.624851
-88.5,165.5,1371.443017
-88.5,166.5,1371.258722
-88.5,167.5,1371.068475
-88.5,168.5,1378.584392
-88.5,169.5,1378.165941
-88.5,170.5,1377.967763
-88.5,171.5,1377.767753
-88.5,172.5,1377.557028
-88.5,173.5,1377.361938
-88.5,174.5,1377.142769
-88.5,175.5,1377.133985
-88.5,176.5,1359.336967
-88.5,177.5,1359.115753
-88.5,178.5,1358.920249
-88.5,179.5,1358.686702
-87.5,-179.5,1349.540605
-87.5,-178.5,1349.070612
-87.5,-177.5,1348.568207
-87.5,-176.5,1348.070906
-87.5,-175.5,1343.801855
-87.5,-174.5,1343.269174
-87.5,-173.5,1342.53923
-87.5,-172.5,1341.997015
-87.5,-171.5,1341.867135
-87.5,-170.5,1341.320511
-87.5,-169.5,1340.970504
-87.5,-168.5,1340.423815
-87.5,-167.5,1308.295595
-87.5,-166.5,1307.761538
-87.5,-165.5,1307.252553
-87.5,-164.5,1306.742412
-87.5,-163.5,1306.247571
-87.5,-162.5,1305.757523
-87.5,-161.5,1305.305184
-87.5,-160.5,1304.642678
-87.5,-159.5,1272.300114
-87.5,-158.5,1271.904615
-87.5,-157.5,1271.524735
-87.5,-156.5,1271.378113
-87.5,-155.5,1271.073201
-87.5,-154.5,1270.78783
-87.5,-153.5,1270.540532
-87.5,-152.5,1270.306
-87.5,-151.5,1253.588619
-87.5,-150.5,1253.428326
-87.5,-149.5,1253.290732
-87.5,-148.5,1253.179134
-87.5,-147.5,1253.095702
-87.5,-146.5,1253.051531
-87.5,-145.5,1252.815326
-87.5,-144.5,1252.806999
-87.5,-143.5,1279.853453
-87.5,-142.5,1279.908286
-87.5,-141.5,1280.038019
-87.5,-140.5,1280.122909
-87.5,-139.5,1280.241255
-87.5,-138.5,1280.549504
-87.5,-137.5,1280.707817
-87.5,-136.5,1280.869947
-87.5,-135.5,1288.120272
-87.5,-134.5,1288.320699
-87.5,-133.5,1288.517993
-87.5,-132.5,1288.728059
-87.5,-131.5,1288.954433
-87.5,-130.5,1289.185346
-87.5,-129.5,1289.431019
-87.5,-128.5,1289.667593
-87.5,-127.5,1292.855736
-87.5,-126.5,1293.334767
-87.5,-125.5,1293.579503
-87.5,-124.5,1294.016202
-87.5,-123.5,1294.248496
-87.5,-122.5,1294.496918
-87.5,-121.5,1294.72822
-87.5,-120.5,1294.945535
-87.5,-119.5,1295.97725
-87.5,-118.5,1296.1947
-87.5,-117.5,1296.377445
-87.5,-116.5,1296.555613
-87.5,-115.5,1296.528446
-87.5,-114.5,1296.670593
-87.5,-113.5,1296.588262
-87.5,-112.5,1296.710846
-87.5,-111.5,1304.578702
-87.5,-110.5,1304.660164
-87.5,-109.5,1304.911317
-87.5,-108.5,1304.941806
-87.5,-107.5,1304.948758
-87.5,-106.5,1304.931396
-87.5,-105.5,1304.911622
-87.5,-104.5,1304.836351
-87.5,-103.5,1295.287945
-87.5,-102.5,1295.206453
-87.5,-101.5,1295.089413
-87.5,-100.5,1294.536534
-87.5,-99.5,1294.400829
-87.5,-98.5,1294.054949
-87.5,-97.5,1293.897722
-87.5,-96.5,1294.398824
-87.5,-95.5,1299.719984
-87.5,-94.5,1299.745392
-87.5,-93.5,1299.765372
-87.5,-92.5,1299.581458
-87.5,-91.5,1299.408414
-87.5,-90.5,1299.224797
-87.5,-89.5,1299.058698
-87.5,-88.5,1298.873704
-87.5,-87.5,1291.86015
-87.5,-86.5,1291.722999
-87.5,-85.5,1291.375085
-87.5,-84.5,1291.244015
-87.5,-83.5,1291.117957
-87.5,-82.5,1291.023203
-87.5,-81.5,1291.132604
-87.5,-80.5,1291.089369
-87.5,-79.5,1301.666365
-87.5,-78.5,1301.610132
-87.5,-77.5,1301.609886
-87.5,-76.5,1301.597778
-87.5,-75.5,1301.622071
-87.5,-74.5,1301.652127
-87.5,-73.5,1301.685493
-87.5,-72.5,1301.745656
-87.5,-71.5,1304.188994
-87.5,-70.5,1304.277498
-87.5,-69.5,1304.369123
-87.5,-68.5,1304.264522
-87.5,-67.5,1304.383383
-87.5,-66.5,1304.710488
-87.5,-65.5,1304.837581
-87.5,-64.5,1304.972559
-87.5,-63.5,1312.653398
-87.5,-62.5,1312.797348
-87.5,-61.5,1312.943267
-87.5,-60.5,1313.10833
-87.5,-59.5,1313.264871
-87.5,-58.5,1313.442525
-87.5,-57.5,1313.624497
-87.5,-56.5,1313.795128
-87.5,-55.5,1318.811117
-87.5,-54.5,1319.002446
-87.5,-53.5,1319.176968
-87.5,-52.5,1319.350532
-87.5,-51.5,1319.583693
-87.5,-50.5,1319.760146
-87.5,-49.5,1319.955098
-87.5,-48.5,1320.172913
-87.5,-47.5,1325.395201
-87.5,-46.5,1325.602614
-87.5,-45.5,1325.812714
-87.5,-44.5,1326.020127
-87.5,-43.5,1326.252926
-87.5,-42.5,1326.478178
-87.5,-41.5,1326.725581
-87.5,-40.5,1326.957155
-87.5,-39.5,1333.014528
-87.5,-38.5,1333.26979
-87.5,-37.5,1333.522381
-87.5,-36.5,1333.818543
-87.5,-35.5,1334.105746
-87.5,-34.5,1334.37254
-87.5,-33.5,1334.833885
-87.5,-32.5,1335.13385
-87.5,-31.5,1340.50408
-87.5,-30.5,1340.832104
-87.5,-29.5,1341.143069
-87.5,-28.5,1341.46221
-87.5,-27.5,1341.790356
-87.5,-26.5,1342.115136
-87.5,-25.5,1342.452966
-87.5,-24.5,1342.796435
-87.5,-23.5,1351.515132
-87.5,-22.5,1351.860197
-87.5,-21.5,1352.228598
-87.5,-20.5,1352.610503
-87.5,-19.5,1353.175919
-87.5,-18.5,1353.552632
-87.5,-17.5,1353.945528
-87.5,-16.5,1354.319612
-87.5,-15.5,1359.880839
-87.5,-14.5,1360.256721
-87.5,-13.5,1360.646925
-87.5,-12.5,1361.032632
-87.5,-11.5,1361.417516
-87.5,-10.5,1361.601361
-87.5,-9.5,1361.987012
-87.5,-8.5,1362.174424
-87.5,-7.5,1361.948807
-87.5,-6.5,1362.174865
-87.5,-5.5,1362.529704
-87.5,-4.5,1363.099831
